ticker,pdf_file,page,stratum,decision_class,subtype,note
HD,HD-HOME DEPOT INC-2021.pdf,52,representative,prose,prose_multicol,"'Protection By Design' spotlight narrative, genuine multi-col prose with photo+pull-quote aside, no tables"
MUSA,MUSA-MURPHY USA INC-2022.pdf,17,representative,prose,prose_multicol,"2-col prose with colored inline stat-callout boxes; each callout is a complete self-contained sentence (number embedded in prose, not a separate label/value pair), so no detachment risk"
RL,RL-RALPH LAUREN CORP-2023.pdf,109,representative,table_dominant,disclosure_index_table,"SASB TOPIC/RESPONSE ruled disclosure table (Raw Materials Sourcing, Activity Metric)"
CRI,CRI-CARTER'S INC-2021.pdf,44,representative,prose,prose_multicol,"Large photo + genuine prose on environmental impact goals, no tables"
NKE,NKE-NIKE INC -CL B-2024.pdf,37,representative,table_dominant,data_table_ruled,"Emission Source/Type/Factor ruled table (Scope 1/2/3 rows) dominates; smaller 'Methodology Changes' prose sidebar"
FL,FL-FOOT LOCKER INC-2021.pdf,45,representative,prose,prose_multicol,"3-col prose on supply chain transportation efficiency, photos + stylized text graphic, no tables"
WHR,WHR-WHIRLPOOL CORP-2021.pdf,75,representative,prose,prose_multicol,"2 independent bullet-list columns (Corporate Governance topics | Ethics and Compliance topics) under shared header banner; column-major reading is correct, no row correspondence between columns"
XOM,XOM-EXXON MOBIL CORP-2022.pdf,54,representative,prose,prose_multicol,"Clean 2-col prose on Indigenous peoples / cultural heritage with icon accents and reference link lists"
BBWI,BBWI-BATH & BODY WORKS INC-2024.pdf,96,representative,prose,prose_multicol,"3rd-party GHG assurance letter (Apex), 2 sequential pages side by side; column-major = correct page order; bullet figures are self-contained label:value lines"
PLCE,PLCE-The Childrens Place-2022.pdf,90,representative,table_dominant,disclosure_index_table,"GRI 2 General Disclosures ruled table: Disclosure Number/Description/Reporting Requirements/Disclosure Language"
LAD,LAD-LITHIA MOTORS INC -CL A-2022.pdf,3,representative,prose,prose_multicol,"CEO letter, photo + 2-col flowing prose narrative"
ROST,ROST-ROSS STORES INC-2021.pdf,13,representative,prose,prose_multicol,"Photo + 2-col prose on hiring/training programs, no tables"
DLTR,DLTR-DOLLAR TREE INC-2023.pdf,29,representative,ambiguous_or_mixed,data_table_ruled,"Left half: substantial ruled GHG emissions table (Scope 1/2/3 x 2021/2022, shaded rows). Right half: genuine prose on methodology. Table would detach emission-category labels from year values if scrambled"
EYE,EYE-NATIONAL VISION HOLDINGS INC-2022.pdf,71,representative,table_dominant,disclosure_index_table,"SDG Index ruled table: SDG icon/TARGET/NATIONAL VISION ACTION-INITIATIVE"
RL,RL-RALPH LAUREN CORP-2024.pdf,58,representative,prose,prose_multicol,"Genuine prose on Education/DE&I and Gives Back programs with a sidebar callout box, no tables"
BRLT,BRLT-BRILLIANT EARTH GP INC-2022.pdf,55,representative,table_dominant,disclosure_index_table,"GRI Standard/Disclosure/Location/Omissions/SASB Code ruled table, multi-row disclosure cells"
DELL,DELL-DELL TECHNOLOGIES INC-2022.pdf,26,representative,table_dominant,data_table_ruled,"Goals table: Goal/Unit of Measure/FY20/FY21/FY22/Performance commentary, ruled rows"
HD,HD-HOME DEPOT INC-2023.pdf,122,representative,table_dominant,disclosure_index_table,"TCFD Framework ruled index table: Disclosure Topics/Section/Page#/Additional Sources"
M,M-MACY'S INC-2024.pdf,15,representative,prose,prose_multicol,"2-col prose on colleague development with photo and a bolded-bullet program-list callout box, no label/value table structure"
LOVE,LOVE-LOVESAC CO (THE)-2025.pdf,47,representative,prose,prose_multicol,"4 prose subsections (diversity/independence/criteria/risk mgmt) dominate; 2 simple self-contained stat visualizations (icon row, donut chart) alongside"
NKE,NKE-NIKE INC -CL B-2021.pdf,114,representative,prose,prose_multicol,"Genuine prose on waste-reduction initiatives, sidebar callout box, photo+pull-quote, no tables"
MELI,MELI-MERCADOLIBRE-2025.pdf,49,representative,prose,prose_multicol,"2 independent narrative case-study boxes (disability inclusion program, Inclusion Insights Team), each self-contained, no shared row-structure"
LAD,LAD-LITHIA MOTORS INC -CL A-2025.pdf,6,representative,prose,prose_multicol,"Interview-style spotlight article, intro+bio+Q&A prose across cols, photos"
JWN,JWN-NORSTROM-2023.pdf,34,representative,prose,prose_multicol,"Restaurant Group prose + McBride Sisters callout box + environmental-impact prose + photo, no tables"
M,M-MACY'S INC-2023.pdf,94,representative,prose,prose_multicol,"2-col prose on human rights oversight and supply chain risk assessment, no tables"
LEG,LEG-LEGGETT & PLATT INC-2023.pdf,3,representative,prose,prose_multicol,"CEO letter prose + values pull-quote box + 3 self-contained fact bullets, no label/value table"
KTB,KTB-KONTOOR BRANDS INC-2024.pdf,22,representative,prose,prose_multicol,"2-col prose on circularity strategy with highlighted pull-quote and photo, no tables"
EYE,EYE-NATIONAL VISION HOLDINGS INC-2021.pdf,4,representative,prose,prose_multicol,"'About this report' 2-col prose describing report scope, photo, no tables"
DECK,DECK-DECKERS OUTDOOR CORP-2025.pdf,190,representative,table_dominant,data_table_ruled,"T2 Supplier Facilities disclosure: 13-column ruled table (category/country/parent/name/address/workers/union/specialty/brands), many rows"
LULU,LULU-LULULEMON ATHLETICA INC-2022.pdf,65,representative,prose,prose_multicol,"Spotlight story 'The more you know' on Sustainable Design Collective, 2-col prose + photo, no tables"
ETSY,ETSY-Etsy-2021.pdf,7,representative,prose,prose_multicol,"'Prioritizing People' full-width prose + DEI section (bulleted goals list | prose), each col independently coherent, no table structure"
APC,APC-ARKO PETROLEUM CORP-2021.pdf,37,representative,prose,prose_multicol,"2-col legal/forward-looking-statements boilerplate prose, no tables"
W,W-WAYFAIR INC-2023.pdf,27,representative,table_dominant,disclosure_index_table,"GRI 2 General Disclosures ruled table: GRI Standard/Disclosure/Location mapped to Proxy Statement pages"
PLCE,PLCE-The Childrens Place-2022.pdf,4,representative,prose,prose_multicol,"CEO letter, photo + 2-col prose narrative, no tables"
T,T-AT&T INC-2025.pdf,8,representative,prose,prose_multicol,"2-col prose on digital divide access/affordability/adoption dominates; 2 self-contained Target stat-card boxes (donut+number+caption) alongside, not detached label/value pairs"
PVH,PVH-PVH CORP-2021.pdf,20,representative,prose,prose_multicol,"2 independent bullet-list columns (Human Rights orgs | Community & Inclusion orgs) plus photo; each name self-contained, column-major reading correct"
M,M-MACY'S INC-2023.pdf,22,representative,prose,prose_multicol,"Colleague Development prose with mission-statement callout box and photos, no tables"
AAP,AAP-ADVANCE AUTO PARTS INC-2022.pdf,33,representative,prose,prose_multicol,"2 independent prose columns (Distribution Center Safety | Store Safety), photo, column-major reading correct"
MUSA,MUSA-MURPHY USA INC-2023.pdf,34,representative,prose,prose_multicol,"2-col prose on compliance/ethics with a 3-box contact-info callout (Hotline/Email/Online), each box self-contained, no scrambling risk"
ARKO,ARKO-ARKO CORP-2021.pdf,29,representative,prose,prose_multicol,"2-col prose on Code of Conduct with highlighted guiding-principles bullet box, photo banner, no tables"
DECK,DECK-DECKERS OUTDOOR CORP-2024.pdf,151,representative,table_dominant,disclosure_index_table,"GRI 2 General Disclosures ruled table: Disclosure Number/Title/Notes/Location, multi-paragraph note cells"
WMT,WMT-WALMART INC-2022.pdf,38,representative,prose,prose_multicol,"2 independent bullet-list columns (economic vitality | community resilience facts), photo, column-major reading correct"
AAPL,AAPL-APPLE INC-2021.pdf,12,representative,prose,prose_multicol,"'Smarter chemistry' 2-col prose plus narrow stat-callout column (100%, 1400+), each callout self-contained sentence, no detachment risk"
M,M-MACY'S INC-2023.pdf,72,representative,prose,prose_multicol,"Sustainable innovations/training prose plus yellow traceability-claims box, photo, no tables"
SGC,SGC-SUPERIOR GROUP OF COS INC-2023.pdf,15,representative,prose,prose_multicol,"Data security prose plus employee pull-quote and certifications bullet-list box, no label/value table"
UEIC,UEIC-UNIVERSAL ELECTRONICS INC-2023.pdf,27,representative,table_dominant,disclosure_index_table,"GRI Index ruled table: DISCLOSURE/RESPONSE mapping GRI 305/308/401/403 codes to response text"
HD,HD-HOME DEPOT INC-2023.pdf,97,representative,prose,prose_multicol,"Conflict Minerals 2-col prose plus self-contained 100% stat-callout box, photo, no tables"
EYE,EYE-NATIONAL VISION HOLDINGS INC-2021.pdf,55,representative,prose,prose_multicol,"3-col prose/bulleted DEI partnership descriptions with bold lead-ins, each bullet self-contained, no table structure"
TSCO,TSCO-TRACTOR SUPPLY CO-2025.pdf,24,representative,prose,prose_multicol,"2-col prose on pet care services dominates; right-sidebar 4-card stat grid, each card self-contained icon+number+caption, no detachment risk"
WMK,WMK-WEIS MARKETS INC-2021.pdf,12,representative,table_dominant,chart_infographic,"Waste-category tree diagram (Plastics/Metals/Paper/Motor Oil/Tires/Electronics umbrellas with tonnage per sub-category), connecting lines encode structure; column-major reading would scramble which figure belongs under which umbrella"
LOVE,LOVE-LOVESAC CO (THE)-2025.pdf,26,representative,prose,prose_multicol,"Pay & Benefits, 2-col prose with icon+heading+paragraph sections, no tables"
ETSY,ETSY-Etsy-2021.pdf,8,representative,prose,prose_multicol,"2 independent columns (bulleted DEI goals | prose) repeated twice on page, each self-contained, correct reading order"
DECK,DECK-DECKERS OUTDOOR CORP-2021.pdf,165,representative,table_dominant,data_table_ruled,"4 separate ruled fiber-breakdown data tables (UGG footwear/apparel, by year, % usage), header+data rows"
MOV,MOV-MOVADO GROUP INC-2025.pdf,31,representative,ambiguous_or_mixed,other,"2-page spread: small 4-row quantity/material recovery list (32g Diamonds, 21kg Precious Metals, etc) + substantial genuine prose on recycling partnerships by country"
CVS,CVS-CVS HEALTH CORP-2022.pdf,35,representative,prose,prose_multicol,"Resource consumption / supply chain prose with bulleted accomplishments box and pull-quote, no tables"
GES,GES-GUESS-2021-2020.pdf,4,representative,prose,prose_multicol,"About Our Company 2-col prose narrative + numbered values list + mission statement paragraph, photo"
MHK,MHK-MOHAWK INDUSTRIES INC-2023.pdf,31,representative,prose,prose_multicol,"2 independent prose sections (Health and Well-Being | Zero-Harm Workplace) dominate; small embedded bar chart with year/value labels is secondary"
WRBY,WRBY-WARBY PARKER INC-2022.pdf,28,representative,prose,prose_multicol,"Coaching/summit program prose with inline stat bullets (self-contained sentences), no label/value table"
COLM,COLM-COLUMBIA SPORTSWEAR CO-2021.pdf,46,representative,prose,prose_multicol,"Appendix D audits, 2-col numbered (1-5) prose sections, each self-contained, no tables"
SNBR,SNBR-SLEEP NUMBER CORP-2022.pdf,22,representative,prose,prose_multicol,"Wellbeing prose + 5 independent statement boxes + 5-category bullet-list table (Physical/Emotional/Financial/Community/Career) with unequal bullet counts per column confirming no row-correspondence to scramble"
BBY,BBY-BEST BUY CO INC-2022.pdf,100,representative,table_dominant,disclosure_index_table,"TCFD index ruled table: Topic/Location of disclosure mapping Governance/Strategy/Risk Mgmt/Metrics rows to CDP codes"
DECK,DECK-DECKERS OUTDOOR CORP-2025.pdf,47,representative,prose,prose_multicol,"Materials prose (leather sourcing) dominates; bar chart with %-labeled bars and 3 self-contained big-number stat callouts alongside"
VSXY,VSXY-Victorias Secret-2023.pdf,96,representative,table_dominant,disclosure_index_table,"IFRS S2 Response ruled table: Category/Details/2023 Response mapping numbered disclosure items to company responses"
WWW,WWW-WOLVERINE WORLD WIDE-2022.pdf,4,representative,prose,prose_multicol,"CEO letter 2-page spread, photo + 2-col prose (environmental/DEI/community sections), signature"
NKE,NKE-NIKE INC -CL B-2022.pdf,51,representative,prose,prose_multicol,"2-col prose on engagement/inclusion targets dominates left half; right half bar chart with %-on-bar labels and 2 self-contained benchmark callouts (83%/82%), values stay adjacent to their FY-year labels"
HD,HD-HOME DEPOT INC-2023.pdf,112,representative,table_dominant,disclosure_index_table,"GRI Standards ruled table: Disclosure code/Location, mapping 2-1 through 2-7 organizational disclosures to response text"
DKS,DKS-DICKS SPORTING GOODS INC-2021.pdf,51,representative,prose,prose_multicol,"2 narrative spotlight stories (diversity/sustainable apparel) with photo and pull-quote box, no tables"
DLTR,DLTR-DOLLAR TREE INC-2021.pdf,3,representative,prose,prose_multicol,"Mission statement prose + Values/Strategy section with WINNER acronym bulleted list, no label/value table"
AAPL,AAPL-APPLE INC-2022.pdf,35,representative,prose,prose_multicol,"EHS management systems 2-col prose with photo, no tables"
SGC,SGC-SUPERIOR GROUP OF COS INC-2025.pdf,49,representative,table_dominant,disclosure_index_table,"SASB ruled table: Topic/Accounting Metric/Code/Response, multi-paragraph response cells with visible cell borders"
ARKO,ARKO-ARKO CORP-2024.pdf,44,representative,prose,prose_multicol,"2-col prose on cybersecurity training and data privacy, no tables"
ULTA,ULTA-ULTA BEAUTY INC-2022.pdf,26,representative,ambiguous_or_mixed,data_table_ruled,"Left: prose + 2 self-contained stat callouts. Right: genuine 2-row x 2-category (Scope 1&2 | Scope 3) comparison table with ruled separators, would detach 'What it is'/'What we're doing' row labels from the wrong scope column if scrambled"
NKE,NKE-NIKE INC -CL B-2022.pdf,161,representative,prose,prose_multicol,"Governance 2-col prose dominates; right-side org-chart hierarchy diagram has singular box labels (no label:value pairs to detach), structure loss is inherent to any text linearization"
COLM,COLM-COLUMBIA SPORTSWEAR CO-2022.pdf,23,representative,prose,prose_multicol,"Communities 2-col prose with self-contained $3M stat callout, photo, program box, no tables"
CRI,CRI-CARTER'S INC-2022.pdf,39,representative,prose,prose_multicol,"Recruitment 2-col prose with inline self-contained stat bullets and partner-org bullet list, photo, no tables"
CASY,CASY-CASEYS GENERAL STORES INC-2025.pdf,15,representative,ambiguous_or_mixed,data_table_ruled,"Left: genuine prose + stylized stat callout. Right: small ruled table (EV Charging Stations/Stores with EV Charging x FY2025/24/23) that would detach row labels from year values if scrambled"
ROST,ROST-ROSS STORES INC-2021.pdf,24,representative,prose,prose_multicol,"Community Partners 3-col prose, photo, pull-quote box, no tables"
GAP,GAP-GAP-2022.pdf,7,representative,ambiguous_or_mixed,other,"3 independent self-contained boxes (Business Highlights stats, 2022 Awards list, Signatories/Commitments list), each reads fine alone, no cross-box order dependency"
SGI,SGI-SOMNIGROUP INTERNATIONAL INC-2025.pdf,11,representative,prose,prose_multicol,"2-col prose on land/forest management, fleet efficiency, zero-emission vehicles with pull-quote callouts and photo, no tables"
CRI,CRI-CARTER'S INC-2023.pdf,6,representative,prose,prose_multicol,"'Our Brands' 2-col independent brand-profile cards (logo+description each), no cross-column row correspondence, column-major reading correct"
RL,RL-RALPH LAUREN CORP-2023.pdf,86,representative,prose,prose_multicol,"Ethics & Compliance 2-col prose with bulleted Code of Conduct list, no tables"
PTRN,PTRN-Pattern Group-2024(Italian).pdf,77,representative,table_dominant,disclosure_index_table,"GRI Content Index (Italian): Categoria/Numero/Titolo/Sotto/ESRS Corrispondente/Descrizione/Capitolo/Pag ruled table, many rows"
DLTR,DLTR-DOLLAR TREE INC-2021.pdf,17,representative,prose,prose_multicol,"Environmental Stewardship photo + 2-col prose/bulleted policy list, no tables"
SONO,SONO-SONOS INC-2023.pdf,42,representative,table_dominant,disclosure_index_table,"TCFD Index: 3-col intro prose above a ruled TCFD Recommendation/Sonos Disclosure table (Governance a/b rows), table portion dominates"
SFM,SFM-SPROUTS FARMERS MARKET-2021.pdf,35,representative,prose,prose_multicol,"ESG Compensation 2-col prose with SDG icon sidebar, stat/quote box, photo, no tables"
SNBR,SNBR-SLEEP NUMBER CORP-2023.pdf,64,representative,table_dominant,disclosure_index_table,"GRI Context Index ruled table: GRI/SASB Standard/Indicator-Metric/Disclosure, colored section header rows"
PVH,PVH-PVH CORP-2022.pdf,105,representative,table_dominant,disclosure_index_table,"GRI disclosure ruled table: Disclosure Number and Title/2022 Response (GRI 409/410/413/414)"
SNBR,SNBR-SLEEP NUMBER CORP-2023.pdf,47,representative,prose,prose_multicol,"Environmental Approach 2-col prose/bulleted list with photo, no tables"
KSS,KSS-KOHL'S-2024.pdf,7,representative,prose,prose_multicol,"Workforce safety 2-col prose dominates; small 2-bar chart with number-on-bar+caption self-contained, no detachment risk"
SGC,SGC-SUPERIOR GROUP OF COS INC-2021.pdf,10,representative,prose,prose_multicol,"Awards & recognition single-column list (award name+description pairs) plus decorative badge images, reads correctly regardless of order"
GES,GES-GUESS-2021-2020.pdf,3,representative,prose,prose_multicol,"CEO letter, photo + 3-col flowing prose narrative, no tables"
COLM,COLM-COLUMBIA SPORTSWEAR CO-2021.pdf,5,representative,prose,prose_multicol,"About This Report 2-col prose (scope/data integrity/disclosure practices | frameworks), photo, footnote, no tables"
WRBY,WRBY-WARBY PARKER INC-2024.pdf,64,representative,prose,prose_multicol,"Supply chain social compliance, photo + 2-col prose, no tables"
T,T-AT&T INC-2023.pdf,48,representative,prose,prose_multicol,"Waste Management 2-col prose dominates; right-sidebar 4 self-contained stat callouts and Goal/Progress metric pair, photos"
ROST,ROST-ROSS STORES INC-2023.pdf,9,representative,prose,prose_multicol,"DE&I 2-col prose dominates; right-sidebar 4 self-contained donut-chart stats (%+label together), no tables"
AAP,AAP-ADVANCE AUTO PARTS INC-2022.pdf,57,representative,prose,prose_multicol,"Cyber Security & Data Privacy 2-col prose with photo, no tables"
TGT,TGT-TARGET CORP-2024.pdf,19,representative,prose,prose_multicol,"Product and Packaging Design bulleted 2-col prose with photo, no tables"
RL,RL-RALPH LAUREN CORP-2025.pdf,45,representative,table_dominant,disclosure_index_table,"GRI Index ruled table: Disclosure/Disclosure Title/Response, GRI 2 General Disclosures 2-1 through 2-18"
FIGS,FIGS-FIGS INC-2022.pdf,11,representative,prose,other,"Giving Highlights: 2 stat callouts (donated units, monetary donations) each followed by a 2-col alphabetized organization-name list; names carry no separate value to detach, safe regardless of column traversal order"
ACI,ACI-ALBERTSONS COS INC-2023.pdf,30,representative,table_dominant,disclosure_index_table,"UN SDG mapping ruled table: Sustainable Development Goal/Efforts by Albertsons/References in Report, shaded rows per SDG"
MELI,MELI-MERCADOLIBRE-2023.pdf,79,representative,table_dominant,data_table_ruled,"GRI index (top) + large embedded New Hires/Turnover data table by country x gender x age-band (11 cols x ~20 rows), ruled, would badly scramble if read column-major"
XOM,XOM-EXXON MOBIL CORP-2021.pdf,18,representative,prose,prose_multicol,"Emergency preparedness 2-col prose dominates; line chart (no per-point labels needing pairing) and 2 self-contained highlight-stat callouts with own explanatory text"
LULU,LULU-LULULEMON ATHLETICA INC-2024.pdf,29,representative,prose,prose_multicol,"Packaging and Waste 2-col prose dominates; small bar chart with generously-spaced year+% labels directly paired, low detachment risk, photo"
WOOF,WOOF-PETCO HEALTH AND WELLNESS CO-2022.pdf,25,representative,prose,prose_multicol,"Community Engagement 2-col prose with inline bulleted list and self-contained stat sentences, no tables"
KSS,KSS-KOHL'S CORP-2021.pdf,13,representative,ambiguous_or_mixed,chart_infographic,"Top half genuine 2-col prose (Better Buildings, ENERGY STAR). Bottom half bar chart with rotated 3-digit value labels inside bars (kBTu/sq ft by year) -- genuine rotation, short enough to fall under Task 0's 15pt height gate, some year-to-value detachment risk if columns split them"
DELL,DELL-DELL TECHNOLOGIES INC-2024.pdf,22,representative,prose,prose_multicol,"Sustainable data centers, photo + 2-col bulleted prose, no tables"
TGT,TGT-TARGET CORP-2023.pdf,106,representative,table_dominant,disclosure_index_table,"SDG Index ruled table: SDG/Goals and Accomplishments/Aligned Target Forward Ambition/Who Is Impacted/Aligned SDG Targets, 5 cols"
WRBY,WRBY-WARBY PARKER INC-2022.pdf,49,representative,prose,prose_multicol,"Product Quality and Safety 2-col prose with photo, no tables"
MHK,MHK-MOHAWK INDUSTRIES INC-2021.pdf,64,representative,table_dominant,disclosure_index_table,"GRI Index ruled table: Disclosure Number/Title/Response, colored section header rows (GRI 413/414/416)"
BBY,BBY-BEST BUY CO INC-2025.pdf,19,representative,prose,prose_multicol,"Sustainable products 2-col prose dominates; gradient timeline chart with axis labels only (no per-segment pairing risk), photo"
BBY,BBY-BEST BUY CO INC-2022.pdf,69,representative,prose,prose_multicol,"Chemicals 2-col prose plus a Metric/Performance dot-leader list where each metric+value is on one self-contained line, no cross-column detachment risk"
LOW,LOW-LOWE'S COS INC-2023.pdf,43,representative,prose,prose_multicol,"Business Resilience 2-col prose (governance/continuity/GSOC/command center), photos, no tables"
HD,HD-HOME DEPOT INC-2023.pdf,90,representative,prose,prose_multicol,"Path to Pro program 2-col prose with Did-You-Know callout box and photo, no tables"
TSCO,TSCO-TRACTOR SUPPLY CO-2025.pdf,29,representative,prose,prose_multicol,"4 stacked sections each with icon+heading+2 independent bullet-list columns (no row correspondence between them), column-major reading correct"
WRBY,WRBY-WARBY PARKER INC-2022.pdf,22,representative,prose,prose_multicol,"Engagement and Belonging 2-col prose with Fun Fact callout box and photo, no tables"
LULU,LULU-LULULEMON ATHLETICA INC-2024.pdf,28,representative,prose,prose_multicol,"Chemicals Management 3-col prose with photo, no tables"
GPI,GPI-GROUP 1 AUTOMOTIVE INC-2023.pdf,18,representative,prose,prose_multicol,"Training and Development 2-col prose (rotational leadership program, EV safety) with photos, no tables"
LOVE,LOVE-LOVESAC CO (THE)-2024.pdf,15,representative,table_dominant,data_table_ruled,"Fiscal 2024 Targets Summary ruled KPI table: Target Description/Unit/FY21-24/%Change/Target/Target Year, multiple metric rows"
FL,FL-FOOT LOCKER INC-2021.pdf,65,representative,table_dominant,disclosure_index_table,"SASB reference table: Activity Metrics/Category/Unit of Measure/Code/Data and Reference, multi-row"
NWL,NWL-NEWELL BRANDS INC-2022.pdf,60,representative,prose,prose_multicol,"Independent third-party assurance letter, formal single-flow prose, no tables"
EYE,EYE-NATIONAL VISION HOLDINGS INC-2021.pdf,28,representative,prose,prose_multicol,"Vision-loss program story, photo + prose + pull-quote, no tables"
BBY,BBY-BEST BUY CO INC-2021.pdf,41,representative,prose,prose_multicol,"DE&I employee spotlight 2-col prose with photo, no tables"
CROX,CROX-CROCS INC-2023.pdf,36,representative,table_dominant,disclosure_index_table,"SASB Reference Table ruled: Topic/Code/Accounting-Activity Metric/Category/Unit of Measure/Data-Response/Related Reference, dense multi-paragraph cells"
AAPL,AAPL-APPLE INC-2025.pdf,10,representative,ambiguous_or_mixed,data_table_ruled,"Carbon neutrality bar chart (axis labels only) + compact 3x3 ruled emissions table (Gross/Offsets/Net x 2015/2020/2025) on left, genuine prose on right; table would detach row labels from year values if scrambled"
VRA,VRA-VERA BRADLEY INC-2025.pdf,28,representative,table_dominant,disclosure_index_table,"SASB 2024 ruled table: description/Data-Response/Code, 3-col with visible vertical rules, multiple rows"
M,M-MACY'S INC-2023.pdf,34,representative,prose,prose_multicol,"Colleague Resource Groups 2-col prose with stat callout box, photo, plus 3-col grid of self-contained CRG name-badges each with own caption, no detachment risk"
PTRN,PTRN-Pattern Group-2022.pdf,24,representative,prose,prose_multicol,"Leather Goods Hub 2-col prose (Idee Partners/Development/Production/Footwear/Innovation), no tables"
BRLT,BRLT-BRILLIANT EARTH GP INC-2022.pdf,59,representative,table_dominant,disclosure_index_table,"GRI Standard/Disclosure/Location/Omissions/SASB Code ruled table plus a second SASB Omissions Code/Metric grid below"
HD,HD-HOME DEPOT INC-2024.pdf,7,representative,ambiguous_or_mixed,other,"Wheel diagram (8 core values as legend segments) + 8 independent self-contained value blocks (heading+bullets, no cross-block correspondence) + 3 independent charity-program boxes at bottom, no single canonical order (FIGS-2024-p11-style)"
GPI,GPI-GROUP 1 AUTOMOTIVE INC-2023.pdf,30,representative,table_dominant,data_table_ruled,"Governance and Oversight ruled table: Area of Performance/Position/Responsibility with genuine row correspondence, grouped by Social/Environmental/Governance"
AZO,AZO-AUTOZONE INC-2023.pdf,44,representative,prose,prose_multicol,"Safety Culture/Fleet 2-col prose plus bottom awards-program prose banner, no tables"
ULTA,ULTA-ULTA BEAUTY INC-2021.pdf,10,representative,prose,prose_multicol,"Data stewardship 2-col prose with bulleted list, photo, self-contained SecurityScorecard stat callout, no tables"
PTRN,PTRN-Pattern Group-2021.pdf,28,representative,prose,prose_multicol,"Governance 2-col prose with self-contained name:title list lines (Board members, Auditors), no cross-column detachment"
CASY,CASY-CASEYS GENERAL STORES INC-2022.pdf,17,representative,prose,prose_multicol,"Human Rights / Political Activities 2-col prose with photo and badge logos, no tables"
