ticker,pdf_file,page,stratum,decision_class,subtype,note,label_source,annotator1_class,annotator2_class,annotator1_subtype,annotator2_subtype
WHR,WHR-WHIRLPOOL CORP-2021.pdf,96,representative,prose,prose_multicol,"3-col prose on supplier criteria and conflict minerals; pull-quote box is an excerpt of body text, not a table",annotator_agreement,prose,prose,prose_multicol,prose_multicol
KR,KR-KROGER CO-2022.pdf,57,representative,ambiguous_or_mixed,disclosure_index_table,"Genuine six-row risk-to-policy-to-resource table is the titled subject of the centre column and would detach under column-major reading, but a full prose column runs beside it.",adjudicated,ambiguous_or_mixed,prose,data_table_ruled,prose_multicol
HD,HD-HOME DEPOT INC-2021.pdf,52,representative,prose,prose_multicol,"'Protection By Design' spotlight narrative, genuine multi-col prose with photo+pull-quote aside, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
MUSA,MUSA-MURPHY USA INC-2022.pdf,17,representative,prose,prose_multicol,"2-col prose with colored inline stat-callout boxes; each callout is a complete self-contained sentence (number embedded in prose, not a separate label/value pair), so no detachment risk",annotator_agreement,prose,prose,prose_multicol,prose_multicol
RL,RL-RALPH LAUREN CORP-2023.pdf,109,representative,table_dominant,disclosure_index_table,"SASB TOPIC/RESPONSE ruled disclosure table (Raw Materials Sourcing, Activity Metric)",annotator_agreement,table_dominant,table_dominant,disclosure_index_table,disclosure_index_table
CRI,CRI-CARTER'S INC-2021.pdf,44,representative,prose,prose_multicol,"Large photo + genuine prose on environmental impact goals, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
NKE,NKE-NIKE INC -CL B-2024.pdf,37,representative,table_dominant,data_table_ruled,Emission Source/Type/Factor ruled table (Scope 1/2/3 rows) dominates; smaller 'Methodology Changes' prose sidebar,annotator_agreement,table_dominant,table_dominant,data_table_ruled,data_table_ruled
FL,FL-FOOT LOCKER INC-2021.pdf,45,representative,prose,prose_multicol,"3-col prose on supply chain transportation efficiency, photos + stylized text graphic, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
WHR,WHR-WHIRLPOOL CORP-2021.pdf,75,representative,prose,prose_multicol,"2 independent bullet-list columns (Corporate Governance topics | Ethics and Compliance topics) under shared header banner; column-major reading is correct, no row correspondence between columns",annotator_agreement,prose,prose,prose_multicol,prose_multicol
XOM,XOM-EXXON MOBIL CORP-2022.pdf,54,representative,prose,prose_multicol,Clean 2-col prose on Indigenous peoples / cultural heritage with icon accents and reference link lists,annotator_agreement,prose,prose,prose_multicol,prose_multicol
BBWI,BBWI-BATH & BODY WORKS INC-2024.pdf,96,representative,prose,prose_multicol,"3rd-party GHG assurance letter (Apex), 2 sequential pages side by side; column-major = correct page order; bullet figures are self-contained label:value lines",annotator_agreement,prose,prose,prose_multicol,other
PLCE,PLCE-The Childrens Place-2022.pdf,90,representative,table_dominant,disclosure_index_table,GRI 2 General Disclosures ruled table: Disclosure Number/Description/Reporting Requirements/Disclosure Language,annotator_agreement,table_dominant,table_dominant,disclosure_index_table,disclosure_index_table
LAD,LAD-LITHIA MOTORS INC -CL A-2022.pdf,3,representative,prose,prose_multicol,"CEO letter, photo + 2-col flowing prose narrative",annotator_agreement,prose,prose,prose_multicol,prose_multicol
ROST,ROST-ROSS STORES INC-2021.pdf,13,representative,prose,prose_multicol,"Photo + 2-col prose on hiring/training programs, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
DLTR,DLTR-DOLLAR TREE INC-2023.pdf,29,representative,table_dominant,data_table_ruled,"Appendix C is a full ruled GHG table (16 scope rows x 2021/2022) filling the left half; the right-hand text is supporting methodology, so the table is the page.",adjudicated,ambiguous_or_mixed,table_dominant,data_table_ruled,data_table_ruled
EYE,EYE-NATIONAL VISION HOLDINGS INC-2022.pdf,71,representative,table_dominant,disclosure_index_table,SDG Index ruled table: SDG icon/TARGET/NATIONAL VISION ACTION-INITIATIVE,annotator_agreement,table_dominant,table_dominant,disclosure_index_table,disclosure_index_table
RL,RL-RALPH LAUREN CORP-2024.pdf,58,representative,prose,prose_multicol,"Genuine prose on Education/DE&I and Gives Back programs with a sidebar callout box, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
BRLT,BRLT-BRILLIANT EARTH GP INC-2022.pdf,55,representative,table_dominant,disclosure_index_table,"GRI Standard/Disclosure/Location/Omissions/SASB Code ruled table, multi-row disclosure cells",annotator_agreement,table_dominant,table_dominant,disclosure_index_table,disclosure_index_table
DELL,DELL-DELL TECHNOLOGIES INC-2022.pdf,26,representative,table_dominant,data_table_ruled,"Goals table: Goal/Unit of Measure/FY20/FY21/FY22/Performance commentary, ruled rows",annotator_agreement,table_dominant,table_dominant,data_table_ruled,data_table_ruled
HD,HD-HOME DEPOT INC-2023.pdf,122,representative,table_dominant,disclosure_index_table,TCFD Framework ruled index table: Disclosure Topics/Section/Page#/Additional Sources,annotator_agreement,table_dominant,table_dominant,disclosure_index_table,disclosure_index_table
M,M-MACY'S INC-2024.pdf,15,representative,prose,prose_multicol,"2-col prose on colleague development with photo and a bolded-bullet program-list callout box, no label/value table structure",annotator_agreement,prose,prose,prose_multicol,prose_multicol
LOVE,LOVE-LOVESAC CO (THE)-2025.pdf,47,representative,prose,prose_multicol,"4 prose subsections (diversity/independence/criteria/risk mgmt) dominate; 2 simple self-contained stat visualizations (icon row, donut chart) alongside",annotator_agreement,prose,prose,prose_multicol,chart_infographic
NKE,NKE-NIKE INC -CL B-2021.pdf,114,representative,prose,prose_multicol,"Genuine prose on waste-reduction initiatives, sidebar callout box, photo+pull-quote, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
MELI,MELI-MERCADOLIBRE-2025.pdf,49,representative,prose,prose_multicol,"2 independent narrative case-study boxes (disability inclusion program, Inclusion Insights Team), each self-contained, no shared row-structure",annotator_agreement,prose,prose,prose_multicol,prose_multicol
LAD,LAD-LITHIA MOTORS INC -CL A-2025.pdf,6,representative,prose,prose_multicol,"Interview-style spotlight article, intro+bio+Q&A prose across cols, photos",annotator_agreement,prose,prose,prose_multicol,prose_multicol
JWN,JWN-NORSTROM-2023.pdf,34,representative,prose,prose_multicol,"Restaurant Group prose + McBride Sisters callout box + environmental-impact prose + photo, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
M,M-MACY'S INC-2023.pdf,94,representative,prose,prose_multicol,"2-col prose on human rights oversight and supply chain risk assessment, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
LEG,LEG-LEGGETT & PLATT INC-2023.pdf,3,representative,prose,prose_multicol,"CEO letter prose + values pull-quote box + 3 self-contained fact bullets, no label/value table",annotator_agreement,prose,prose,prose_multicol,prose_multicol
KTB,KTB-KONTOOR BRANDS INC-2024.pdf,22,representative,prose,prose_multicol,"2-col prose on circularity strategy with highlighted pull-quote and photo, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
EYE,EYE-NATIONAL VISION HOLDINGS INC-2021.pdf,4,representative,prose,prose_multicol,"'About this report' 2-col prose describing report scope, photo, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
DECK,DECK-DECKERS OUTDOOR CORP-2025.pdf,190,representative,table_dominant,data_table_ruled,"T2 Supplier Facilities disclosure: 13-column ruled table (category/country/parent/name/address/workers/union/specialty/brands), many rows",annotator_agreement,table_dominant,table_dominant,data_table_ruled,data_table_ruled
LULU,LULU-LULULEMON ATHLETICA INC-2022.pdf,65,representative,prose,prose_multicol,"Spotlight story 'The more you know' on Sustainable Design Collective, 2-col prose + photo, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
ETSY,ETSY-Etsy-2021.pdf,7,representative,prose,prose_multicol,"Full-width narrative plus a goals bullet list beside independent DEI prose; the two columns carry no row correspondence, so column-major reading is correct.",adjudicated,prose,ambiguous_or_mixed,prose_multicol,other
APC,APC-ARKO PETROLEUM CORP-2021.pdf,37,representative,prose,prose_multicol,"2-col legal/forward-looking-statements boilerplate prose, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
W,W-WAYFAIR INC-2023.pdf,27,representative,table_dominant,disclosure_index_table,GRI 2 General Disclosures ruled table: GRI Standard/Disclosure/Location mapped to Proxy Statement pages,annotator_agreement,table_dominant,table_dominant,disclosure_index_table,disclosure_index_table
PLCE,PLCE-The Childrens Place-2022.pdf,4,representative,prose,prose_multicol,"CEO letter, photo + 2-col prose narrative, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
T,T-AT&T INC-2025.pdf,8,representative,prose,prose_multicol,"2-col prose on digital divide access/affordability/adoption dominates; 2 self-contained Target stat-card boxes (donut+number+caption) alongside, not detached label/value pairs",annotator_agreement,prose,prose,prose_multicol,prose_multicol
DELL,DELL-DELL TECHNOLOGIES INC-2024.pdf,22,representative,prose,prose_multicol,"Sustainable data centers, photo + 2-col bulleted prose, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
PVH,PVH-PVH CORP-2021.pdf,20,representative,prose,prose_multicol,"2 independent bullet-list columns (Human Rights orgs | Community & Inclusion orgs) plus photo; each name self-contained, column-major reading correct",annotator_agreement,prose,prose,prose_multicol,other
M,M-MACY'S INC-2023.pdf,22,representative,prose,prose_multicol,"Colleague Development prose with mission-statement callout box and photos, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
AAP,AAP-ADVANCE AUTO PARTS INC-2022.pdf,33,representative,prose,prose_multicol,"2 independent prose columns (Distribution Center Safety | Store Safety), photo, column-major reading correct",annotator_agreement,prose,prose,prose_multicol,prose_multicol
MUSA,MUSA-MURPHY USA INC-2023.pdf,34,representative,prose,prose_multicol,"2-col prose on compliance/ethics with a 3-box contact-info callout (Hotline/Email/Online), each box self-contained, no scrambling risk",annotator_agreement,prose,prose,prose_multicol,prose_multicol
ARKO,ARKO-ARKO CORP-2021.pdf,29,representative,prose,prose_multicol,"2-col prose on Code of Conduct with highlighted guiding-principles bullet box, photo banner, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
DECK,DECK-DECKERS OUTDOOR CORP-2024.pdf,151,representative,table_dominant,disclosure_index_table,"GRI 2 General Disclosures ruled table: Disclosure Number/Title/Notes/Location, multi-paragraph note cells",annotator_agreement,table_dominant,table_dominant,disclosure_index_table,disclosure_index_table
WMT,WMT-WALMART INC-2022.pdf,38,representative,prose,prose_multicol,"2 independent bullet-list columns (economic vitality | community resilience facts), photo, column-major reading correct",annotator_agreement,prose,prose,prose_multicol,prose_multicol
AAPL,AAPL-APPLE INC-2021.pdf,12,representative,prose,prose_multicol,"'Smarter chemistry' 2-col prose plus narrow stat-callout column (100%, 1400+), each callout self-contained sentence, no detachment risk",annotator_agreement,prose,prose,prose_multicol,prose_multicol
M,M-MACY'S INC-2023.pdf,72,representative,prose,prose_multicol,"Sustainable innovations/training prose plus yellow traceability-claims box, photo, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
SGC,SGC-SUPERIOR GROUP OF COS INC-2023.pdf,15,representative,prose,prose_multicol,A full prose column beside a pull quote and a certifications prose box; no label-value or row structure exists to scramble.,adjudicated,prose,ambiguous_or_mixed,prose_multicol,other
UEIC,UEIC-UNIVERSAL ELECTRONICS INC-2023.pdf,27,representative,table_dominant,disclosure_index_table,GRI Index ruled table: DISCLOSURE/RESPONSE mapping GRI 305/308/401/403 codes to response text,annotator_agreement,table_dominant,table_dominant,disclosure_index_table,disclosure_index_table
HD,HD-HOME DEPOT INC-2023.pdf,97,representative,prose,prose_multicol,"Conflict Minerals 2-col prose plus self-contained 100% stat-callout box, photo, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
EYE,EYE-NATIONAL VISION HOLDINGS INC-2021.pdf,55,representative,prose,prose_multicol,"3-col prose/bulleted DEI partnership descriptions with bold lead-ins, each bullet self-contained, no table structure",annotator_agreement,prose,prose,prose_multicol,prose_multicol
TSCO,TSCO-TRACTOR SUPPLY CO-2025.pdf,24,representative,prose,prose_multicol,"2-col prose on pet care services dominates; right-sidebar 4-card stat grid, each card self-contained icon+number+caption, no detachment risk",annotator_agreement,prose,prose,prose_multicol,prose_multicol
WMK,WMK-WEIS MARKETS INC-2021.pdf,12,representative,ambiguous_or_mixed,chart_infographic,"Waste-category tree of self-contained label-above-value cards is neither a row-structured table nor simple prose, and the tree layout gives no canonical linear order; group totals could migrate between categories.",adjudicated,table_dominant,prose,chart_infographic,chart_infographic
LOVE,LOVE-LOVESAC CO (THE)-2025.pdf,26,representative,prose,prose_multicol,"Pay & Benefits, 2-col prose with icon+heading+paragraph sections, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
ETSY,ETSY-Etsy-2021.pdf,8,representative,prose,prose_multicol,Goals-versus-narrative two-column layout in two shaded bands; each block is self-contained bullets or prose with no line-level row structure to scramble.,adjudicated,prose,table_dominant,prose_multicol,disclosure_index_table
DECK,DECK-DECKERS OUTDOOR CORP-2021.pdf,165,representative,table_dominant,data_table_ruled,"4 separate ruled fiber-breakdown data tables (UGG footwear/apparel, by year, % usage), header+data rows",annotator_agreement,table_dominant,table_dominant,data_table_ruled,data_table_ruled
MOV,MOV-MOVADO GROUP INC-2025.pdf,31,representative,ambiguous_or_mixed,other,"2-page spread: small 4-row quantity/material recovery list (32g Diamonds, 21kg Precious Metals, etc) + substantial genuine prose on recycling partnerships by country",annotator_agreement,ambiguous_or_mixed,ambiguous_or_mixed,other,stat_card_grid
CVS,CVS-CVS HEALTH CORP-2022.pdf,35,representative,prose,prose_multicol,"Resource consumption / supply chain prose with bulleted accomplishments box and pull-quote, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
GES,GES-GUESS-2021-2020.pdf,4,representative,prose,prose_multicol,"About Our Company 2-col prose narrative + numbered values list + mission statement paragraph, photo",annotator_agreement,prose,prose,prose_multicol,prose_multicol
MHK,MHK-MOHAWK INDUSTRIES INC-2023.pdf,31,representative,prose,prose_multicol,2 independent prose sections (Health and Well-Being | Zero-Harm Workplace) dominate; small embedded bar chart with year/value labels is secondary,annotator_agreement,prose,prose,prose_multicol,prose_multicol
WRBY,WRBY-WARBY PARKER INC-2022.pdf,28,representative,prose,prose_multicol,"Coaching/summit program prose with inline stat bullets (self-contained sentences), no label/value table",annotator_agreement,prose,prose,prose_multicol,prose_multicol
COLM,COLM-COLUMBIA SPORTSWEAR CO-2021.pdf,46,representative,prose,prose_multicol,"Appendix D audits, 2-col numbered (1-5) prose sections, each self-contained, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
SNBR,SNBR-SLEEP NUMBER CORP-2022.pdf,22,representative,prose,other,"The five-column benefits grid holds independent per-category bullet lists of unequal length, so column-major reading is the correct order rather than a scrambling one.",adjudicated,prose,ambiguous_or_mixed,prose_multicol,other
BBY,BBY-BEST BUY CO INC-2022.pdf,100,representative,table_dominant,disclosure_index_table,TCFD index ruled table: Topic/Location of disclosure mapping Governance/Strategy/Risk Mgmt/Metrics rows to CDP codes,annotator_agreement,table_dominant,table_dominant,disclosure_index_table,disclosure_index_table
DECK,DECK-DECKERS OUTDOOR CORP-2025.pdf,47,representative,prose,prose_multicol,Materials prose (leather sourcing) dominates; bar chart with %-labeled bars and 3 self-contained big-number stat callouts alongside,annotator_agreement,prose,prose,prose_multicol,prose_multicol
VSXY,VSXY-Victorias Secret-2023.pdf,96,representative,table_dominant,disclosure_index_table,IFRS S2 Response ruled table: Category/Details/2023 Response mapping numbered disclosure items to company responses,annotator_agreement,table_dominant,table_dominant,disclosure_index_table,disclosure_index_table
WWW,WWW-WOLVERINE WORLD WIDE-2022.pdf,4,representative,prose,prose_multicol,"CEO letter 2-page spread, photo + 2-col prose (environmental/DEI/community sections), signature",annotator_agreement,prose,prose,prose_multicol,prose_multicol
NKE,NKE-NIKE INC -CL B-2022.pdf,51,representative,prose,prose_multicol,"2-col prose on engagement/inclusion targets dominates left half; right half bar chart with %-on-bar labels and 2 self-contained benchmark callouts (83%/82%), values stay adjacent to their FY-year labels",annotator_agreement,prose,prose,prose_multicol,chart_infographic
HD,HD-HOME DEPOT INC-2023.pdf,112,representative,table_dominant,disclosure_index_table,"GRI Standards ruled table: Disclosure code/Location, mapping 2-1 through 2-7 organizational disclosures to response text",annotator_agreement,table_dominant,table_dominant,disclosure_index_table,disclosure_index_table
DKS,DKS-DICKS SPORTING GOODS INC-2021.pdf,51,representative,prose,prose_multicol,"2 narrative spotlight stories (diversity/sustainable apparel) with photo and pull-quote box, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
DLTR,DLTR-DOLLAR TREE INC-2021.pdf,3,representative,prose,prose_multicol,"Mission statement prose + Values/Strategy section with WINNER acronym bulleted list, no label/value table",annotator_agreement,prose,prose,prose_multicol,prose_multicol
AAPL,AAPL-APPLE INC-2022.pdf,35,representative,prose,prose_multicol,"EHS management systems 2-col prose with photo, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
SGC,SGC-SUPERIOR GROUP OF COS INC-2025.pdf,49,representative,table_dominant,disclosure_index_table,"SASB ruled table: Topic/Accounting Metric/Code/Response, multi-paragraph response cells with visible cell borders",annotator_agreement,table_dominant,table_dominant,disclosure_index_table,disclosure_index_table
ARKO,ARKO-ARKO CORP-2024.pdf,44,representative,prose,prose_multicol,"2-col prose on cybersecurity training and data privacy, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
ULTA,ULTA-ULTA BEAUTY INC-2022.pdf,26,representative,ambiguous_or_mixed,data_table_ruled,"Left: prose + 2 self-contained stat callouts. Right: genuine 2-row x 2-category (Scope 1&2 | Scope 3) comparison table with ruled separators, would detach 'What it is'/'What we're doing' row labels from the wrong scope column if scrambled",annotator_agreement,ambiguous_or_mixed,ambiguous_or_mixed,data_table_ruled,other
NKE,NKE-NIKE INC -CL B-2022.pdf,161,representative,prose,chart_infographic,"Two full prose columns dominate; the governance org-chart boxes carry single labels only, so there is no label-value pair for reading order to detach.",adjudicated,prose,ambiguous_or_mixed,prose_multicol,chart_infographic
COLM,COLM-COLUMBIA SPORTSWEAR CO-2022.pdf,23,representative,prose,prose_multicol,"Communities 2-col prose with self-contained $3M stat callout, photo, program box, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
CRI,CRI-CARTER'S INC-2022.pdf,39,representative,prose,prose_multicol,"Recruitment 2-col prose with inline self-contained stat bullets and partner-org bullet list, photo, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
CASY,CASY-CASEYS GENERAL STORES INC-2025.pdf,15,representative,ambiguous_or_mixed,data_table_ruled,"Small but genuine ruled table (EV chargers/stores x FY2025-23) whose six figures would scramble, embedded in a substantial prose column.",adjudicated,ambiguous_or_mixed,prose,data_table_ruled,chart_infographic
ROST,ROST-ROSS STORES INC-2021.pdf,24,representative,prose,prose_multicol,"Community Partners 3-col prose, photo, pull-quote box, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
GAP,GAP-GAP-2022.pdf,7,representative,ambiguous_or_mixed,other,"3 independent self-contained boxes (Business Highlights stats, 2022 Awards list, Signatories/Commitments list), each reads fine alone, no cross-box order dependency",annotator_agreement,ambiguous_or_mixed,ambiguous_or_mixed,other,other
SGI,SGI-SOMNIGROUP INTERNATIONAL INC-2025.pdf,11,representative,prose,prose_multicol,"2-col prose on land/forest management, fleet efficiency, zero-emission vehicles with pull-quote callouts and photo, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
CRI,CRI-CARTER'S INC-2023.pdf,6,representative,prose,prose_multicol,"'Our Brands' 2-col independent brand-profile cards (logo+description each), no cross-column row correspondence, column-major reading correct",annotator_agreement,prose,prose,prose_multicol,other
RL,RL-RALPH LAUREN CORP-2023.pdf,86,representative,prose,prose_multicol,"Ethics & Compliance 2-col prose with bulleted Code of Conduct list, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
PTRN,PTRN-Pattern Group-2024(Italian).pdf,77,representative,table_dominant,disclosure_index_table,"GRI Content Index (Italian): Categoria/Numero/Titolo/Sotto/ESRS Corrispondente/Descrizione/Capitolo/Pag ruled table, many rows",annotator_agreement,table_dominant,table_dominant,disclosure_index_table,disclosure_index_table
DLTR,DLTR-DOLLAR TREE INC-2021.pdf,17,representative,prose,prose_multicol,"Environmental Stewardship photo + 2-col prose/bulleted policy list, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
SONO,SONO-SONOS INC-2023.pdf,42,representative,table_dominant,disclosure_index_table,A genuine TCFD recommendation-to-disclosure index table carries most of the page's text and its row pairing would be destroyed by column-major reading.,adjudicated,table_dominant,ambiguous_or_mixed,disclosure_index_table,disclosure_index_table
SFM,SFM-SPROUTS FARMERS MARKET-2021.pdf,35,representative,prose,prose_multicol,"ESG Compensation 2-col prose with SDG icon sidebar, stat/quote box, photo, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
SNBR,SNBR-SLEEP NUMBER CORP-2023.pdf,64,representative,table_dominant,disclosure_index_table,"GRI Context Index ruled table: GRI/SASB Standard/Indicator-Metric/Disclosure, colored section header rows",annotator_agreement,table_dominant,table_dominant,disclosure_index_table,disclosure_index_table
PVH,PVH-PVH CORP-2022.pdf,105,representative,table_dominant,disclosure_index_table,GRI disclosure ruled table: Disclosure Number and Title/2022 Response (GRI 409/410/413/414),annotator_agreement,table_dominant,table_dominant,disclosure_index_table,disclosure_index_table
SNBR,SNBR-SLEEP NUMBER CORP-2023.pdf,47,representative,prose,prose_multicol,"Environmental Approach 2-col prose/bulleted list with photo, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
KSS,KSS-KOHL'S-2024.pdf,7,representative,prose,prose_multicol,"Workforce safety 2-col prose dominates; small 2-bar chart with number-on-bar+caption self-contained, no detachment risk",annotator_agreement,prose,prose,prose_multicol,prose_multicol
SGC,SGC-SUPERIOR GROUP OF COS INC-2021.pdf,10,representative,prose,prose_multicol,"Awards & recognition single-column list (award name+description pairs) plus decorative badge images, reads correctly regardless of order",annotator_agreement,prose,prose,prose_multicol,other
GES,GES-GUESS-2021-2020.pdf,3,representative,prose,prose_multicol,"CEO letter, photo + 3-col flowing prose narrative, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
COLM,COLM-COLUMBIA SPORTSWEAR CO-2021.pdf,5,representative,prose,prose_multicol,"About This Report 2-col prose (scope/data integrity/disclosure practices | frameworks), photo, footnote, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
WRBY,WRBY-WARBY PARKER INC-2024.pdf,64,representative,prose,prose_multicol,"Supply chain social compliance, photo + 2-col prose, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
T,T-AT&T INC-2023.pdf,48,representative,prose,stat_card_grid,Two full prose columns dominate; the four-stat band and the Target/Progress box each place a figure directly above its own caption with no shared row label spanning columns.,adjudicated,prose,ambiguous_or_mixed,prose_multicol,chart_infographic
ROST,ROST-ROSS STORES INC-2023.pdf,9,representative,prose,prose_multicol,"DE&I 2-col prose dominates; right-sidebar 4 self-contained donut-chart stats (%+label together), no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
AAP,AAP-ADVANCE AUTO PARTS INC-2022.pdf,57,representative,prose,prose_multicol,"Cyber Security & Data Privacy 2-col prose with photo, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
TGT,TGT-TARGET CORP-2024.pdf,19,representative,prose,prose_multicol,"Product and Packaging Design bulleted 2-col prose with photo, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
