report_label,ticker,year,heading,canonical_section_code,calibration_decision,notes,source_review_flag,source_line
AEO 2021,AEO,2021,"IDEA: Inclusion, Diversity, Equity and Access",diversity_equity_inclusion,use_for_splitter,matched calibrated ESG heading pattern,,28
AEO 2021,AEO,2021,IDEA Alliance and Guiding Principles,diversity_equity_inclusion,use_for_splitter,matched calibrated ESG heading pattern,,29
AEO 2021,AEO,2021,People Data,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,30
AEO 2021,AEO,2021,Associate Networks & Connections,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,31
AEO 2021,AEO,2021,Caring for Our People: Human Rights in Our Supply Chain,supply_chain_ethics,use_for_splitter,matched calibrated ESG heading pattern,,32
AEO 2021,AEO,2021,"We are committed to safe working conditions, supplier relations and human rights across our supply chain.",,manual_review,not matched to canonical ESG code; review before adding pattern,sentence_like_review,33
AEO 2021,AEO,2021,Consumer Trust,ethics_compliance,use_for_splitter,matched calibrated ESG heading pattern,,35
AEO 2021,AEO,2021,Partnerships That Make a Difference,community,use_for_splitter,matched calibrated ESG heading pattern,,36
AEO 2021,AEO,2021,Supporting People and Strengthening Our Communities,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,37
AEO 2021,AEO,2021,We give back and roll up our sleeves to make a difference in the communities where we live and work.,,manual_review,not matched to canonical ESG code; review before adding pattern,sentence_like_review,38
AEO 2021,AEO,2021,PRACTICES,governance,use_for_splitter,matched calibrated ESG heading pattern,,40
AEO 2021,AEO,2021,Corporate Governance and Board of Directors,governance,use_for_splitter,matched calibrated ESG heading pattern,,41
AEO 2021,AEO,2021,Responsible Business,governance,use_for_splitter,matched calibrated ESG heading pattern,,42
AEO 2021,AEO,2021,Key Sourcing Policies and Protocols,supply_chain_ethics,use_for_splitter,matched calibrated ESG heading pattern,,43
AEO 2021,AEO,2021,Data Privacy and Security,ethics_compliance,use_for_splitter,matched calibrated ESG heading pattern,,44
AEO 2021,AEO,2021,In Memoriam of Steven A. Davis,,skip_brand_or_story_title,brand/story title does not identify a reusable ESG topic,,45
AEO 2021,AEO,2021,Forward-looking Statements,,manual_review,not matched to canonical ESG code; review before adding pattern,,46
AEO 2021,AEO,2021,APPENDIX,appendix,use_for_splitter,matched calibrated ESG heading pattern,,47
AEO 2021,AEO,2021,SASB Index,appendix,use_for_splitter,matched calibrated ESG heading pattern,,48
AEO 2021,AEO,2021,Annual GHG Inventory Results,emissions,use_for_splitter,matched calibrated ESG heading pattern,,49
AEO 2021,AEO,2021,GHG Verification Statement,appendix,use_for_splitter,matched calibrated ESG heading pattern,,50
AEO 2021,AEO,2021,Complete Material Topic List,appendix,use_for_splitter,matched calibrated ESG heading pattern,,51
AEO 2021,AEO,2021,Memberships and Associations,appendix,use_for_splitter,matched calibrated ESG heading pattern,,52
AEO 2022,AEO,2022,CEO WELCOME,ceo_letter,use_for_splitter,matched calibrated ESG heading pattern,,54
AEO 2022,AEO,2022,OUR LEGACY,,skip_brand_or_story_title,brand/story title does not identify a reusable ESG topic,,55
AEO 2022,AEO,2022,BUILDING A BETTER WORLD: 2022 HIGHLIGHTS,,skip_generic_subheader,generic repeated subheader; keep inside parent ESG section,,56
AEO 2022,AEO,2022,OUR JOURNEY,about_this_report,use_for_splitter,matched calibrated ESG heading pattern,,57
AEO 2022,AEO,2022,A COMPANY LED BY PURPOSE,,skip_generic_subheader,generic repeated subheader; keep inside parent ESG section,,58
AEO 2022,AEO,2022,American Eagle,,skip_brand_or_story_title,brand/story title does not identify a reusable ESG topic,contains_ocr_note,59
AEO 2022,AEO,2022,Aerie,,skip_brand_or_story_title,brand/story title does not identify a reusable ESG topic,contains_ocr_note,60
AEO 2022,AEO,2022,TODD SNYDER,,skip_brand_or_story_title,brand/story title does not identify a reusable ESG topic,contains_ocr_note,61
AEO 2022,AEO,2022,UNSUBSCRIBED,,skip_brand_or_story_title,brand/story title does not identify a reusable ESG topic,contains_ocr_note,62
AEO 2022,AEO,2022,OUR JOURNEY TO BUILD A BETTER WORLD: 20+ YEARS OF PROGRESS,about_this_report,use_for_splitter,matched calibrated ESG heading pattern,,63
AEO 2022,AEO,2022,ESG OVERSIGHT & COLLABORATION: Setting Best Practices,governance,use_for_splitter,matched calibrated ESG heading pattern,,64
AEO 2022,AEO,2022,MATERIAL ESG TOPICS,about_this_report,use_for_splitter,matched calibrated ESG heading pattern,,65
AEO 2022,AEO,2022,ESG RATINGS OF AEO,data_summary,use_for_splitter,matched calibrated ESG heading pattern,,66
AEO 2022,AEO,2022,PLANET,environmental,use_for_splitter,matched calibrated ESG heading pattern,,67
AEO 2022,AEO,2022,BUILDING A BETTER PLANET - GOALS,environmental,use_for_splitter,matched calibrated ESG heading pattern,,68
AEO 2022,AEO,2022,BUILDING A BETTER PLANET,environmental,use_for_splitter,matched calibrated ESG heading pattern,,69
AEO 2022,AEO,2022,CONTINUING OUR WATER LEADERSHIP,water,use_for_splitter,matched calibrated ESG heading pattern,,70
AEO 2022,AEO,2022,OUR JEANS STORY,,skip_brand_or_story_title,brand/story title does not identify a reusable ESG topic,,71
AEO 2022,AEO,2022,INCREASING SUSTAINABLE RAW MATERIALS,environmental,use_for_splitter,matched calibrated ESG heading pattern,,72
AEO 2022,AEO,2022,EXPANDING REAL GOOD,,manual_review,not matched to canonical ESG code; review before adding pattern,,73
AEO 2022,AEO,2022,BREAKDOWN BY MATERIAL,environmental,use_for_splitter,matched calibrated ESG heading pattern,,74
AEO 2022,AEO,2022,OUR APPROACH TO CHEMICAL MANAGEMENT,environmental,use_for_splitter,matched calibrated ESG heading pattern,,75
AEO 2022,AEO,2022,CLIMATE: REDUCING ENERGY & EMISSIONS,emissions,use_for_splitter,matched calibrated ESG heading pattern,,76
AEO 2022,AEO,2022,OUR EMISSIONS REDUCTION PROGRESS,emissions,use_for_splitter,matched calibrated ESG heading pattern,,77
AEO 2022,AEO,2022,CLIMATE: PARTNERSHIPS & PROGRAMS,climate,use_for_splitter,matched calibrated ESG heading pattern,,78
AEO 2022,AEO,2022,WASTE REDUCTION,waste,use_for_splitter,matched calibrated ESG heading pattern,,79
AEO 2022,AEO,2022,BUILDING A BETTER WORKPLACE & COMMUNITY - GOALS,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,80
AEO 2022,AEO,2022,OUR VALUES,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,82
AEO 2022,AEO,2022,OUR CULTURE,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,83
AEO 2022,AEO,2022,A 360o APPROACH TO SUPPORTING OUR PEOPLE,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,84
AEO 2022,AEO,2022,REAL OPPORTUNITIES,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,85
AEO 2022,AEO,2022,"IDEA: Inclusion, Diversity, Equity and Access",diversity_equity_inclusion,use_for_splitter,matched calibrated ESG heading pattern,,86
AEO 2022,AEO,2022,IDEA: Notable New Initiatives in 2022,,manual_review,not matched to canonical ESG code; review before adding pattern,,87
AEO 2022,AEO,2022,"GUIDING PRINCIPLES & PILLARS: Hiring, Community and Development",community,use_for_splitter,matched calibrated ESG heading pattern,,88
AEO 2022,AEO,2022,PEOPLE DATA: Five Years of Progress,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,89
AEO 2022,AEO,2022,ASSOCIATE NETWORKS & CONNECTIONS,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,90
AEO 2022,AEO,2022,CREATING IMPACT: Partnerships That Make a Difference,community,use_for_splitter,matched calibrated ESG heading pattern,,91
AEO 2022,AEO,2022,CREATING IMPACT: Together with Our Customers,,manual_review,not matched to canonical ESG code; review before adding pattern,,92
AEO 2022,AEO,2022,GIVING BACK TO OUR PEOPLE & COMMUNITIES,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,93
AEO 2022,AEO,2022,CREATING IMPACT: Advancing Educational Opportunities for Our Associates,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,94
AEO 2022,AEO,2022,"POSITIVE ACTION ACROSS OUR SUPPLY CHAIN: Women’s Equity, Safety & Workers’ Voice",,manual_review,not matched to canonical ESG code; review before adding pattern,,95
AEO 2022,AEO,2022,FACTORY RATING SYSTEM,supply_chain_ethics,use_for_splitter,matched calibrated ESG heading pattern,,97
AEO 2022,AEO,2022,BetterWork,supply_chain_ethics,use_for_splitter,matched calibrated ESG heading pattern,contains_ocr_note,98
AEO 2022,AEO,2022,"Investing in women workers through health, life skills and employment training RISE",,manual_review,not matched to canonical ESG code; review before adding pattern,,99
AEO 2022,AEO,2022,RESPONSIBLE SOURCING SUPPLIER COUNCIL,supply_chain_ethics,use_for_splitter,matched calibrated ESG heading pattern,,100
AEO 2022,AEO,2022,PRACTICES,governance,use_for_splitter,matched calibrated ESG heading pattern,,101
AEO 2022,AEO,2022,CORPORATE GOVERNANCE & BOARD OF DIRECTORS HIGHLIGHTS,governance,use_for_splitter,matched calibrated ESG heading pattern,,102
AEO 2022,AEO,2022,GOVERNANCE OVERVIEW,governance,use_for_splitter,matched calibrated ESG heading pattern,,103
AEO 2022,AEO,2022,"HIGHLY TALENTED, SKILLED & DIVERSE BOARD OF DIRECTORS",governance,use_for_splitter,matched calibrated ESG heading pattern,,104
AEO 2022,AEO,2022,MEET TWO OF AEO’S DIRECTORS,,manual_review,not matched to canonical ESG code; review before adding pattern,,105
AEO 2022,AEO,2022,CODE OF ETHICS & WORKPLACE CULTURE,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,106
AEO 2022,AEO,2022,PURCHASING PRACTICES,supply_chain_ethics,use_for_splitter,matched calibrated ESG heading pattern,,107
AEO 2022,AEO,2022,DATA PRIVACY & SECURITY,ethics_compliance,use_for_splitter,matched calibrated ESG heading pattern,,108
AEO 2022,AEO,2022,FORWARD-LOOKING STATEMENTS,,manual_review,not matched to canonical ESG code; review before adding pattern,,109
AEO 2022,AEO,2022,APPENDIX,appendix,use_for_splitter,matched calibrated ESG heading pattern,,110
AEO 2022,AEO,2022,SUSTAINABILITY ACCOUNTING STANDARDS BOARD (SASB) INDEX,appendix,use_for_splitter,matched calibrated ESG heading pattern,,111
AEO 2022,AEO,2022,TASK FORCE ON CLIMATE-RELATED FINANCIAL DISCLOSURES (TCFD) INDEX,appendix,use_for_splitter,matched calibrated ESG heading pattern,,112
AEO 2022,AEO,2022,ANNUAL GHG INVENTORY RESULTS,emissions,use_for_splitter,matched calibrated ESG heading pattern,,113
AEO 2022,AEO,2022,GHG VERIFICATION STATEMENT,appendix,use_for_splitter,matched calibrated ESG heading pattern,,114
AEO 2022,AEO,2022,COMPLETE MATERIAL TOPIC LIST,appendix,use_for_splitter,matched calibrated ESG heading pattern,,115
AEO 2022,AEO,2022,MEMBERSHIPS & ASSOCIATIONS,appendix,use_for_splitter,matched calibrated ESG heading pattern,,116
AEO 2024,AEO,2024,INTRODUCTION,about_this_report,use_for_splitter,matched calibrated ESG heading pattern,,118
AEO 2024,AEO,2024,BUILDING A BETTER PLANET - GOALS,environmental,use_for_splitter,matched calibrated ESG heading pattern,,119
AEO 2024,AEO,2024,WATER GOALS,water,use_for_splitter,matched calibrated ESG heading pattern,,120
AEO 2024,AEO,2024,2024 REAL GOOD BY THE NUMBERS,data_summary,use_for_splitter,matched calibrated ESG heading pattern,,121
AEO 2024,AEO,2024,CONTINUED INCREASE IN THE USE OF SUSTAINABLE RAW MATERIALS,environmental,use_for_splitter,matched calibrated ESG heading pattern,,122
AEO 2024,AEO,2024,CONTINUED INCREASE IN USE OF SUSTAINABLE RAW MATERIALS,environmental,use_for_splitter,matched calibrated ESG heading pattern,,123
AEO 2024,AEO,2024,2023 SUSTAINABLE COTTON BREAKDOWN,environmental,use_for_splitter,matched calibrated ESG heading pattern,,124
AEO 2024,AEO,2024,2024 SUSTAINABLE POLYESTER BREAKDOWN,environmental,use_for_splitter,matched calibrated ESG heading pattern,,125
CROX 2021,CROX,2021,A MESSAGE FROM OUR CEO,ceo_letter,use_for_splitter,matched calibrated ESG heading pattern,,127
CROX 2021,CROX,2021,ABOUT,about_this_report,use_for_splitter,matched calibrated ESG heading pattern,,128
CROX 2021,CROX,2021,COMPANY OVERVIEW,about_this_report,use_for_splitter,matched calibrated ESG heading pattern,,129
CROX 2021,CROX,2021,SUSTAINABLE VALUE CREATION,about_this_report,use_for_splitter,matched calibrated ESG heading pattern,,130
CROX 2021,CROX,2021,GOVERNANCE OF ESG,governance,use_for_splitter,matched calibrated ESG heading pattern,,131
CROX 2021,CROX,2021,MANAGING ESG RISK,governance,use_for_splitter,matched calibrated ESG heading pattern,,132
CROX 2021,CROX,2021,FRAMEWORK ALIGNMENT AND INITIATIVES,about_this_report,use_for_splitter,matched calibrated ESG heading pattern,,133
CROX 2021,CROX,2021,2021 PERFORMANCE AT A GLANCE,data_summary,use_for_splitter,matched calibrated ESG heading pattern,,134
CROX 2021,CROX,2021,ENVIRONMENTAL SUSTAINABILITY COMFORT WITHOUT CARBON,climate,use_for_splitter,matched calibrated ESG heading pattern,,135
CROX 2021,CROX,2021,GOVERNANCE OF ENVIRONMENTAL SUSTAINABILITY,environmental,use_for_splitter,matched calibrated ESG heading pattern,,138
CROX 2021,CROX,2021,CLIMATE,climate,use_for_splitter,matched calibrated ESG heading pattern,,140
CROX 2021,CROX,2021,CLIMATE-RELATED RISK STRATEGY,climate,use_for_splitter,matched calibrated ESG heading pattern,,141
CROX 2021,CROX,2021,EMISSIONS MANAGEMENT,emissions,use_for_splitter,matched calibrated ESG heading pattern,,142
CROX 2021,CROX,2021,PRODUCT CARBON FOOTPRINT TRANSPARENCY,emissions,use_for_splitter,matched calibrated ESG heading pattern,,143
CROX 2021,CROX,2021,RESOURCE MANAGEMENT,environmental,use_for_splitter,matched calibrated ESG heading pattern,,145
CROX 2021,CROX,2021,WATER USE,water,use_for_splitter,matched calibrated ESG heading pattern,,146
CROX 2021,CROX,2021,WASTE MANAGEMENT,waste,use_for_splitter,matched calibrated ESG heading pattern,,147
CROX 2021,CROX,2021,MATERIALS,environmental,use_for_splitter,matched calibrated ESG heading pattern,,148
CROX 2021,CROX,2021,RAW MATERIALS,environmental,use_for_splitter,matched calibrated ESG heading pattern,,149
CROX 2021,CROX,2021,SUSTAINABLE INGREDIENTS,environmental,use_for_splitter,matched calibrated ESG heading pattern,,150
CROX 2021,CROX,2021,PACKAGING,waste,use_for_splitter,matched calibrated ESG heading pattern,,151
CROX 2021,CROX,2021,‘END-OF-LIFE’ SOLUTIONS,waste,use_for_splitter,matched calibrated ESG heading pattern,,152
CROX 2021,CROX,2021,SOCIAL: COMMUNITY AND INCLUSIVITY,diversity_equity_inclusion,use_for_splitter,matched calibrated ESG heading pattern,,153
CROX 2021,CROX,2021,GOVERNANCE OF SOCIAL RISKS AND OPPORTUNITIES,social,use_for_splitter,matched calibrated ESG heading pattern,,155
CROX 2021,CROX,2021,COMMUNITY ENGAGEMENT,community,use_for_splitter,matched calibrated ESG heading pattern,,156
CROX 2021,CROX,2021,CROCS CARES,community,use_for_splitter,matched calibrated ESG heading pattern,,157
CROX 2021,CROX,2021,GIVING BACK IN 2021,community,use_for_splitter,matched calibrated ESG heading pattern,,158
CROX 2021,CROX,2021,HUMAN CAPITAL MANAGEMENT,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,159
CROX 2021,CROX,2021,"PROFESSIONAL DEVELOPMENT, TALENT ACQUISITION AND RETENTION STRATEGIES",human_capital,use_for_splitter,matched calibrated ESG heading pattern,,160
CROX 2021,CROX,2021,PAY EQUITY AND COMPENSATION TRANSPARENCY,diversity_equity_inclusion,use_for_splitter,matched calibrated ESG heading pattern,,162
CROX 2021,CROX,2021,FAIR COMPENSATION THROUGHOUT THE SUPPLY CHAIN,supply_chain_ethics,use_for_splitter,matched calibrated ESG heading pattern,,164
CROX 2021,CROX,2021,EMPLOYEE ENGAGEMENT,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,166
CROX 2021,CROX,2021,WORKPLACE FLEXIBILITY,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,167
CROX 2021,CROX,2021,MENTAL HEALTH,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,168
CROX 2021,CROX,2021,"DIVERSITY, EQUITY AND INCLUSION",diversity_equity_inclusion,use_for_splitter,matched calibrated ESG heading pattern,,169
CROX 2021,CROX,2021,CAYA CULTURE,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,170
CROX 2021,CROX,2021,ENHANCING WORKFORCE DIVERSITY,diversity_equity_inclusion,use_for_splitter,matched calibrated ESG heading pattern,,171
CROX 2021,CROX,2021,SUPPLY CHAIN,supply_chain_ethics,use_for_splitter,matched calibrated ESG heading pattern,,172
CROX 2021,CROX,2021,SUPPLY CHAIN MANAGEMENT,supply_chain_ethics,use_for_splitter,matched calibrated ESG heading pattern,,173
CROX 2021,CROX,2021,SUPPLY CHAIN RISKS,supply_chain_ethics,use_for_splitter,matched calibrated ESG heading pattern,,174
CROX 2021,CROX,2021,SUPPLIER ASSESSMENTS,supply_chain_ethics,use_for_splitter,matched calibrated ESG heading pattern,,175
CROX 2021,CROX,2021,POLICIES AND GUIDELINES,governance,use_for_splitter,matched calibrated ESG heading pattern,,176
CROX 2021,CROX,2021,SOCIAL COMPLIANCE AND AUDITS,social,use_for_splitter,matched calibrated ESG heading pattern,,177
CROX 2021,CROX,2021,ADDRESSING NON-COMPLIANCE,ethics_compliance,use_for_splitter,matched calibrated ESG heading pattern,,178
CROX 2021,CROX,2021,HEALTH AND SAFETY MANAGEMENT SYSTEM,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,179
CROX 2021,CROX,2021,TRAINING AND DUE DILIGENCE,supply_chain_ethics,use_for_splitter,matched calibrated ESG heading pattern,,180
CROX 2021,CROX,2021,HUMAN RIGHTS IN THE SUPPLY CHAIN,supply_chain_ethics,use_for_splitter,matched calibrated ESG heading pattern,,181
CROX 2021,CROX,2021,PRODUCT AND CONSUMER SAFETY,ethics_compliance,use_for_splitter,matched calibrated ESG heading pattern,,182
CROX 2021,CROX,2021,CHEMICAL SAFETY IN PRODUCTS,environmental,use_for_splitter,matched calibrated ESG heading pattern,,183
CROX 2021,CROX,2021,GOVERNANCE,governance,use_for_splitter,matched calibrated ESG heading pattern,,184
CROX 2021,CROX,2021,APPROACH TO GOVERNANCE,governance,use_for_splitter,matched calibrated ESG heading pattern,,185
CROX 2021,CROX,2021,INVESTOR RELATIONS AND ENGAGEMENT,governance,use_for_splitter,matched calibrated ESG heading pattern,,186
CROX 2021,CROX,2021,BOARD OF DIRECTORS,governance,use_for_splitter,matched calibrated ESG heading pattern,,187
CROX 2021,CROX,2021,CYBER SECURITY,ethics_compliance,use_for_splitter,matched calibrated ESG heading pattern,,188
CROX 2021,CROX,2021,ETHICS AND COMPLIANCE,ethics_compliance,use_for_splitter,matched calibrated ESG heading pattern,,189
CROX 2021,CROX,2021,CODE OF CONDUCT AND WORLDWIDE CODE OF ETHICS,ethics_compliance,use_for_splitter,matched calibrated ESG heading pattern,,190
CROX 2021,CROX,2021,GOVERNANCE OF SUPPLIERS AND THIRD PARTIES,governance,use_for_splitter,matched calibrated ESG heading pattern,,192
CROX 2021,CROX,2021,TRAINING,,skip_generic_subheader,generic repeated subheader; keep inside parent ESG section,,193
CROX 2021,CROX,2021,APPENDICES,appendix,use_for_splitter,matched calibrated ESG heading pattern,,194
CROX 2021,CROX,2021,SASB,about_this_report,use_for_splitter,matched calibrated ESG heading pattern,contains_ocr_note,195
CROX 2021,CROX,2021,Task Force on Climate-Related Financial Disclosures,climate,use_for_splitter,matched calibrated ESG heading pattern,,196
CROX 2021,CROX,2021,AWARDS,,skip_generic_subheader,generic repeated subheader; keep inside parent ESG section,,197
CROX 2021,CROX,2021,ALLIANCES AND PARTNERSHIPS,,manual_review,not matched to canonical ESG code; review before adding pattern,,198
CROX 2023,CROX,2023,Inclusivity,diversity_equity_inclusion,use_for_splitter,matched calibrated ESG heading pattern,,200
CROX 2023,CROX,2023,Circularity,waste,use_for_splitter,matched calibrated ESG heading pattern,,201
CROX 2023,CROX,2023,Climate Stability,climate,use_for_splitter,matched calibrated ESG heading pattern,,202
CROX 2023,CROX,2023,Community,community,use_for_splitter,matched calibrated ESG heading pattern,,203
CROX 2023,CROX,2023,A Letter from Our CEO,ceo_letter,use_for_splitter,matched calibrated ESG heading pattern,,204
CROX 2023,CROX,2023,A Year in Review,,skip_generic_subheader,generic repeated subheader; keep inside parent ESG section,,206
CROX 2023,CROX,2023,Acting on Purpose,,skip_generic_subheader,generic repeated subheader; keep inside parent ESG section,,207
CROX 2023,CROX,2023,Real-World Influencers,,skip_brand_or_story_title,brand/story title does not identify a reusable ESG topic,,208
CROX 2023,CROX,2023,A Continuous Pulse Check,,skip_generic_subheader,generic repeated subheader; keep inside parent ESG section,,209
CROX 2023,CROX,2023,Creating a Safe and Inclusive Workplace,diversity_equity_inclusion,use_for_splitter,matched calibrated ESG heading pattern,,211
CROX 2023,CROX,2023,Employee Essentials,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,213
CROX 2023,CROX,2023,Wages & Well-Being,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,214
CROX 2023,CROX,2023,Physical and Mental Health,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,215
CROX 2023,CROX,2023,"New Year, New Policies",,skip_generic_subheader,generic repeated subheader; keep inside parent ESG section,,216
CROX 2023,CROX,2023,Employee Training and Development,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,217
CROX 2023,CROX,2023,Enterprise-Wide Strides,,skip_generic_subheader,generic repeated subheader; keep inside parent ESG section,,219
CROX 2023,CROX,2023,Fostering Connections for New Hires,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,220
CROX 2023,CROX,2023,Celebrating One-of-a-Kinds,,skip_brand_or_story_title,brand/story title does not identify a reusable ESG topic,,221
CROX 2023,CROX,2023,"United, From One Region to Another",,manual_review,not matched to canonical ESG code; review before adding pattern,,223
CROX 2023,CROX,2023,In Service of CAYA,,skip_brand_or_story_title,brand/story title does not identify a reusable ESG topic,,225
CROX 2023,CROX,2023,Sourcing to Scale,supply_chain_ethics,use_for_splitter,matched calibrated ESG heading pattern,,227
CROX 2023,CROX,2023,Bio-Circular Innovation,environmental,use_for_splitter,matched calibrated ESG heading pattern,,228
CROX 2023,CROX,2023,A Tale of Two Brands,,skip_brand_or_story_title,brand/story title does not identify a reusable ESG topic,,229
CROX 2023,CROX,2023,Safer Inputs and Smarter Packaging,waste,use_for_splitter,matched calibrated ESG heading pattern,,232
CROX 2023,CROX,2023,Safety-First Chemical Management Strategy,environmental,use_for_splitter,matched calibrated ESG heading pattern,,235
CROX 2023,CROX,2023,The Full Package,,manual_review,not matched to canonical ESG code; review before adding pattern,,237
CROX 2023,CROX,2023,Bags & Boxes,waste,use_for_splitter,matched calibrated ESG heading pattern,,238
CROX 2023,CROX,2023,Making Strides in Circularity,waste,use_for_splitter,matched calibrated ESG heading pattern,,239
CROX 2023,CROX,2023,Giving Old Crocs New Life,community,use_for_splitter,matched calibrated ESG heading pattern,,241
CROX 2023,CROX,2023,Our Main Sources of Emissions,emissions,use_for_splitter,matched calibrated ESG heading pattern,,246
CROX 2023,CROX,2023,Where are we today,,skip_generic_subheader,generic repeated subheader; keep inside parent ESG section,,248
CROX 2023,CROX,2023,Our Path to Net Zero,climate,use_for_splitter,matched calibrated ESG heading pattern,,249
CROX 2023,CROX,2023,Where are we going,,skip_generic_subheader,generic repeated subheader; keep inside parent ESG section,,250
CROX 2023,CROX,2023,Powering Our Operations and Moving Our Products,,manual_review,not matched to canonical ESG code; review before adding pattern,,252
CROX 2023,CROX,2023,Analyzing the Impact of Our Physical Spaces,,manual_review,not matched to canonical ESG code; review before adding pattern,,258
CROX 2023,CROX,2023,Optimizing Our Transportation & distribution logistics,,manual_review,not matched to canonical ESG code; review before adding pattern,,259
CROX 2023,CROX,2023,Innovating and Optimizing Our Material Footprint,environmental,use_for_splitter,matched calibrated ESG heading pattern,,260
CROX 2023,CROX,2023,Carbon Footprints by Style,emissions,use_for_splitter,matched calibrated ESG heading pattern,,261
CROX 2023,CROX,2023,Raw Materials Interventions,environmental,use_for_splitter,matched calibrated ESG heading pattern,,262
CROX 2023,CROX,2023,Packaging Interventions,waste,use_for_splitter,matched calibrated ESG heading pattern,,264
CROX 2023,CROX,2023,Emissions and Environmental Impacts of Making Our Products,emissions,use_for_splitter,matched calibrated ESG heading pattern,,265
CROX 2023,CROX,2023,Emissions from Tier 1 Manufacturing,emissions,use_for_splitter,matched calibrated ESG heading pattern,,266
CROX 2023,CROX,2023,Assessing Our Supply Chain’s Impact on Natural Resources,supply_chain_ethics,use_for_splitter,matched calibrated ESG heading pattern,,267
CROX 2023,CROX,2023,Warding off Waste,waste,use_for_splitter,matched calibrated ESG heading pattern,,270
CROX 2023,CROX,2023,Managing Wastewater,water,use_for_splitter,matched calibrated ESG heading pattern,,271
CROX 2023,CROX,2023,Step Up to Greatness,,manual_review,not matched to canonical ESG code; review before adding pattern,,273
CROX 2023,CROX,2023,Supporting Our Nonprofit Partners,community,use_for_splitter,matched calibrated ESG heading pattern,,275
